id,name,r,g,b
1,animal,0,30,255
1,cone,0,255,0
1,construction,10,225,0
1,gate,255,128,255
1,guide_post,30,225,0
1,unknown,244,244,244
1,road_debris,255,244,244
2,car,0,0,142
3,truck,0,80,100
4,bus,0,60,100
5,motorcycle,0,0,230
6,bicycle,119,11,32
7,pedestrian,220,20,60
7,stroller,0,50,255
7,other_pedestrian,0,50,255
8,marking_character,196,196,255
8,marking_arrow,128,255,0
9,traffic_light,250,170,30
10,traffic_sign,220,220,0
11,road,128,64,128
11,marking_other,196,255,0
11,parking_lot,233,25,32
11,striped_road_markings,150,255,150
12,sidewalk,244,35,232
13,laneline_solid_white,0,0,255
13,dashed_lane_marking,128,0,32
13,deceleration_line,255,255,255
13,stopline,255,255,0
14,crosswalk,255,0,255
16,wall_fence,102,102,156
17,building,70,70,70
18,vegetation_terrain,107,142,35
19,sky,70,130,180
20,pole,128,196,128
