id,name,r,g,b
0,stroller,255,255,255
0,obstacle_construction,255,255,255
0,obstacle_cone,255,255,255
0,obstacle_guide_post,255,255,255
0,obstacle_others,255,255,255
0,animal,255,255,255
0,other_pedestrian,0,50,255
0,construction,10,225,0
0,cone,0,255,0
0,guide_post,30,225,0
0,other_obstacle,244,244,244
0,road_debris,255,244,244
0,gate,255,128,255
0,wheel_stop,244,244,244
0,trash_can,243,243,243
0,unknown,242,242,242
1,vehicle_car,0,0,255
1,vehicle_others,0,80,100
1,train,0,10,255
1,cars,0,0,142
1,car,0,0,142
1,other_vehicle,0,80,100
2,vehicle_truck,0,160,165
2,truck,0,80,100
3,vehicle_bus,100,0,200
3,bus,0,60,100
4,bicycle,128,255,0
5,bike,255,255,0
5,motorcycle,0,0,230
6,person,255,0,32
6,pedestrian,220,20,60
7,road_paint_arrow,128,255,0
7,road_paint_character,196,196,255
7,marking_arrow,128,255,0
7,marking_character,196,196,255
7,marking_other,196,255,255
8,traffic_light,250,0,255
9,traffic_sign,0,255,0
9,railroad_crossing_sign,220,220,0
